أ.	a.
بالداسي	baldassi
بالدي	balde
بالديني	baldini
بالديفييزو	baldivieso
بالدو	baldo
بالدوليني	baldolini
بولدري	baldry
بالدوين	baldwin
بالنزياغا	balenziaga
باليز	bales
بلفور	balfour
بلحوس	balhous
بليدة	balideh
بليغ	baligh
باليما	balima
باليتش	balitsch
بالم	balım
بلج	balj
بالييتش	baljic
البلخي	balkhi
بالا	balla
باياداريس	balladares
بالانغروود	ballangrud
بالارديني	ballardini
باليريني	ballerini
باليستيروس	ballestrero
بالينجير	ballinger
بالوتا	ballotta
بالماميون	balmamion
بالمير	balmer
بالمونت	balmont
بالوغون	balogun
بالونشييري	baloncieri
بلولة	baloola
بالوتيلي	balotelli
بالويي	baloyi
بلقيس	balqees
بلسم	balsam
بالسامو	balsamo
بالتا	balta
بالتازار	balthasar
بالتييف	baltiev
بلتيمور	baltimore
بالتيسبيرجير	baltisberger
بالفاي	balvay
بلزاك	balzac
بالزاريتي	balzaretti
بالزو	balzo
بامبا	bamba
بامبارا	bambara
بامبيرجر	bamberger
بامبو	bambo
باملت	bamlett
باموغو	bamogo
باموس	bamous
بان	ban
بانا	bana
بانانا	banana
البنبي	banbi
بانكاريل	bancarel
بانسي	bance
بانكروفت	bancroft
باندا	banda
بندر	bandar
باندي	bande
بانديراس	banderas
بانديني	bandini
بانديرولا	bandirola
باندلر	bandler
باندورا	bandura
بانغورا	bangoura
بانجس	bangs
بانجورا	bangura
بانيشفسكي	banishevskiy
بنجر	banjar
بانجو	banjo
بانكس	banks
بانان	bannan
باناتين	bannatyne
بانر	banner
بانرمان	bannerman
بانيستر	bannister
بنوت	bannout
بنواس	banouas
بانوفيتش	banovic
البنشيري	banshiri
بانتنغ	banting
بواردي	baouardy
بابتيستا	baptista
بابتيست	baptiste
باقر	baqir
براء	bara
براباشي	barabasi
برادر	baradar
براهني	baraheni
باراهونا	barahona
باراخا	baraja
بركات	barakat
بارالت	baralt
بارامزينا	baramzina
باران	baran
بارانسكي	baranski
باربرا	barbara
باربازا	barbazza
باربر	barber
بربري	barberi
باربريني	barberini
باربي	barbie
بابوريلي	barbirolli
باربوسا	barbosa
باربر	barbour
باربو	barbu
باربوس	barbusse
باركا	barca
برشلونة	barcelona
براكام	barcham
باركلاي	barclay
بارد	bard
بارداق	bardakoglu
باردين	bardeen
باردم	bardem
باردسلي	bardsley
باريا	barea
باريلز	bareilles
بارينبويم	barenboim
البرقان	bargan
البرغوثي	barghouti
بارغناني	bargnani
بارغ	bargue
برهم	barham
برهوم	barhom
الباري	bari
باريتش	baric
البارقي	bariqi
باريزون	barison
بارجافيل	barjavel
برخا	barkha
برخد	barkhad
البركي	barki
باركين	barkin
باركلا	barkla
باركلي	barkley
بارلاخ	barlach
بارلاس	barlas
بارلي	barley
بارلو	barlow
بارلوزي	barluzzi
برمك	barmak
بارمبي	barmby
برانارد	barnard
برناوي	barnawi
بارنس	barnes
بارنيت	barnett
بارني	barney
بارنوم	barnum
باروتشي	barocci
بارون	baron
باروني	barone
بارونيو	baronio
باروش	baros
البارودي	baroudi
باراغان	barragan
برجان	barrajan
البراك	barrak
بارال	barral
بارانكوس	barrancos
بارانتيس	barrantes
بارينو	barreno
باريرا	barrera
باريتو	barreto
باريت	barrett
باركيلو	barrichello
بارينتوس	barrientos
بارير	barrier
باريو	barrio
باريوس	barrios
باروس	barros
باروسو	barroso
بارومان	barrowman
باري	barry
باريمور	barrymore
برسني	barsane
برصوم	barsoum
بارتلي	bartali
بارث	barth
بارثا	bartha
بارثيل	barthel
بارثلم	barthelme
بارتولدي	bartholdi
بارثولوميو	bartholomew
بارتيك	bartik
بارتنينغ	bartning
بارتوك	bartok
بارتول	bartol
بارتولي	bartoli
بارتولوميه	bartolome
بارتولوتشي	bartolucci
بارتوميو	bartomeu
بارتون	barton
بارترا	bartra
بارترينا	bartrina
بارتز	bartz
باروخ	baruch
بارتشيل	baruchel
باريشنيكوف	baryshnikov
بارزالي	barzagli
برزان	barzan
البارزاني	barzani
باسانتا	basanta
باشام	basham
بشار	bashar
بشير	bashir
باشكيرتسيف	bashkirtseff
البشتاوي	bashtawi
باسيانا	basiana
باسيل	basil
باسندوة	basindawa
بايسنجر	basinger
باسكاكوف	baskakov
باسكوف	baskov
باسلر	basler
باسوف	basov
بصري	basry
باس	bass
باسالا	bassala
بسام	bassam
باساني	bassani
بصاص	bassas
باسرمان	bassermann
باسيت	bassett
باسيلا	bassila
باسيلي	bassily
بصير	bassir
باستا	basta
البسطويسي	bastawisy
باستن	basten
باستيانيش	bastianich
باستيانز	bastians
باستيا	bastiat
باستيداس	bastidas
باستو	basto
باستوس	bastos
باسو	basu
باصهي	basuhai
باتابير	batabaire
باتاك	batak
طرفي	batarfi
بطارسة	batarseh
بطاطو	batatu
بيتمان	bateman
بيتس	bates
بيتسون	bateson
باثوري	bathory
باتيستا	batista
باتيستوتا	batistuta
باتس	bats
باتا	batta
باتاغلين	battaglin
ياتايني	battaini
البتاني	battani
باتنبرغ	battenberg
باتيستي	battisti
باتيستون	battiston
بطوطة	battuta
باتوم	batum
باود	baude
بودلير	baudelaire
بودوان	baudouin
بودريار	baudrillard
بودري	baudry
بومجارتن	baumgarten
باومغارتنر	baumgartner
باوميوهان	baumjohann
بومول	baumol
بوشينجر	bauschinger
باوتيستا	bautista
بوذا	bauza
بوتسر	bauzer
بافاريا	bavaria
البواب	bawwab
باكسندل	baxendale
باكستر	baxter
البيضاوي	baydawi
باير	bayer
بايزيد	bayezid
بايقال	baykal
بايل	bayle
بايليس	bayliss
بايرو	bayrou
باثان	bazan
بازركان	bazargan
بازيموري	bazemore
بازين	bazin
بادزاني	bazzani
بزي	bazzi
بيلز	beals
بيامز	beams
بيردسلي	beardsley
بيرزوت	bearzot
بيسلي	beasley
بياتريس	beatrice
بياتريكس	beatrix
بيارتز	beatriz
بوبير	beaubier
بواشامب	beauchamp
بوفورت،	beaufort
بوارنيه	beauharnais
بومارشيه	beaumarchais
بومونت	beaumont
بوسيجور	beausejour
بيفر	beaver
بيبيك	bebek
الببلاوي	beblawi
بيبو	bebo
بيكالي	becali
بيكسيا	beccia
بيكم	bechem
بيشر	becher
بيتشمان	bechmann
بيشتاين	bechstein
بيك	beck
بكنباور	beckenbauer
بيكيت	beckett
بيكام	beckham
بيكينسيل	beckinsale
بيكويث	beckwith
بدوم	beddome
بيدينيك	bedenik
بيدي	bedi
بيديا	bedia
بيديمو	bedimo
بدنجفيلد	bedingfield
بجاوي	bedjaoui
بيدويا	bedoya
بدول	bedwell
بيكروفت	beecroft
بيكمانس	beekmans
بينهاكر	beenhakker
بيتهوفن	beethoven
بيغارد	begard
بيهان	behan
بيهي	behe
بيهيتش	behich
بيليندورف	behlendorf
بيمل	behmel
بيهن	behn
بهنود	behnoud
بيهريندورف	behrendorff
بهرنغ	behring
برس	behrs
بيدس	beidas
بيجبيديه	beigbeder
بيلن	beilin
بايستر	beister
بيتيا	beitia
بيخار	bejar
بيبل	bejbl
بختي	bekhti
بكير	bekir
بيكمامبيتوف	bekmambetov
بيكوي	bekoe
بيلانوف	belanov
بيلاي	belay
بيلين	belen
بيلينكوسو	belencoso
بيلينغير	belenguer
بيلفورت	belfort
بلكايد	belgaid
بلغول	belghoul
بلغران	belgrand
بلغريف	belgrave
بلحسن	belhassen
بلحوت	belhout
بليافسكي	beliavsky
بيلاغان	beligan
بيليما	belima
بلينلي	belinelli
بيليس	belis
بلقايد	belkaid
بل	bell
بيلامي	bellamy
بيلانكا	bellanca
بلعربي	bellarabi
بيلارد	bellard
بلاز	bellaz
بليري	belleri
بيليتي	belletti
بيليتو	belletto
بيليني	bellini
بيليون	bellion
بيليسي	bellisi
بيلمن	bellmon
بيلوف	bellof
بيلوني	bellone
بيلوسكي	belluschi
بيلفيس	bellvis
بلمختار	belmokhtar
بلموندو	belmondo
بيلمونتي	belmonte
بيلوتي	belote
بيلوفا	belova
بلوز	belozoglu
بلقولة	belqola
بالريش	belraysh
البلتاجي	beltagy
بلتران	beltran
بلترانيخا	beltraneja
بيلوشي	belushi
بيلفيل	belville
بيلزر	belzer
بلزوني	belzoni
بنعبد	benabdallah
بيناليو	benaglio
بنعلي	benali
بيناسيدو	benasedo
بينات	benat
بينافيدس	benavides
بنايون	benayoun
بينظير	benazir
بينبن	benben
بيتور	benbitour
بولعيد	benboulaid
شبلة	benchabla
شمسي	benchemsi
شيخة	benchikha
بنشريفة	benchrifa
بيندر	bender
بندتسون	bendetson
بينتنر	bendtner
بينيديك	benedek
بينديتي	benedetti
بندكت	benedict
بينيديكتو	benedicto
بينيسن	benenson
بينيتي	benetti
بينيفينتو	benevento
فليس	benflis
بنفورد	benford
بينغويشيا	bengoechea
بينغتسون	bengtsson
حبيلس	benhabyles
بلحاج	benhadj
بنهيمة	benhima
بنيامينو	beniamino
بينيني	benigni
خليف	benikhlef
بينيوف	benioff
بينيتيز	benitez
بينيتو	benito
بينجامين	benjamin
بنجلون	benjelloun
بينكا	benka
خضراء	benkhadra
بنمنصور	benmansour
البناني	bennani
بنيتو	benneteau
بينيت	bennett
بنيس	bennis
بيني	benny
بينوا	benoit
بنعمر	benomar
بنوزة	benouza
سدرين	bensedrine
بينسون	benson
ستيتي	benstiti
بينت	bent
بنتيكي	benteke
بنتام	bentham
بنتين	bentin
بنتيفوليو	bentivoglio
بنتلي	bentley
بنتوف	bentov
بينوسي	benussi
بنفنيست	benveniste
بنفينوتي	benvenuti
يمينة	benyamina
بنز	benz
البنزرتي	benzarti
بنزية	benzia
بينزينج	benzing
بيرالدو	beraldo
بيرانك	beranek
برباتوف	berbatov
برشلينو	bercellino
بيرتشيتشي	berchiche
برتشتولد	berchtold
بيردييف	berdiyew
برينغيلا	berengaria
بيرينجر	berenger
بيرينجير	berenguer
بيريسفورد	beresford
بيريتا	beretta
بيريزوفسكي	berezovsky
بيرغ	berg
بيرجاماشي	bergamaschi
بيرجامونتي	bergamonti
بيرجانزا	berganza
بيرغارا	bergara
بركديش	bergdich
برقلين	bergelin
بيرغن	bergen
برغر	berger
بيرجيرون	bergeron
بيرغيرو	bergeroo
بيرجسون	bergeson
بيرغيسيو	bergessio
برغرين	berggreen
بيرغولتس	bergholz
بيرغيوس	bergius
بيركامب	bergkamp
برغمان	bergman
بيرغومي	bergomi
بيرغونيو	bergougnoux
برجسون	bergson
بيرغفولد	bergvold
بيريف	beriev
بيركمان	berkman
بيركوف	berkoff
بركوس	berkous
بيركوس	berkus
برلنت	berlant
بيرليند	berleand
برلنتي	berlenti
برلينر	berliner
برلينغوير	berlinguer
بيرلينسكي	berlinski
بيرليوز	berlioz
بيرلوك	berlocq
برلسكوني	berlusconi
برمان	berman
بيرميخو	bermejo
بيرموديز	bermudez
برمودو	bermudo
بيرنابي	bernabe
بيرناك	bernac
برناكي	bernacchi
بيرناديت	bernadette
برنال	bernal
بيرنارد	bernard
بيرنارديلو	bernardello
بيرنانديس	bernardes
بيرنارديز	bernardez
برناردينو	bernardino
برناردو	bernardo
بيرنات	bernat
بيرنيز	bernays
بيرند	bernd
بيرنر	berner
بيرنرز	berners
برنهارد	bernhard
بيرنولي	bernoulli
برنستاين	bernstein
برنستروم	bernstrom
بيرينديرو	berrendero
بيرر	berrer
بيرت	bert
برتاجيا	bertaggia
بيرتيلسن	bertelsen
بيرتا	bertha
بيرثيلسين	berthelsen
بيرثود	berthod
بيرثولد	berthold
برتوليه	berthollet
بيرتن	bertin
بيرتيني	bertini
بيرطو	berto
بيرتولاتشي	bertolacci
بيرتوليني	bertolini
بيرتولو	bertolo
برتولوتشي	bertolucci
بيرتوني	bertoni
بيرتوس	bertos
برترام	bertram
بيرتراند	bertrand
برتش	bertsch
بيرفيلي	berville
برزارين	berzarin
بيزنت	besant
بيستشاستنخ	beschastnykh
البشاري	beshari
باشير	beshear
بيسويو	besoiu
بسايح	bessaih
بسمر	bessemer
بيسون	besson
بست	best
بيستر	bester
بيث	beth
بيثاني	bethany
بيته	bethe
بيثل	bethel
بيتلين	bethlen
بيتاني	bettany
بيتيغا	bettega
بيتيول	bettiol
بيتزيغ	betzig
بوتلر	beutler
بيفان	bevan
بيفيرلي	beverley
بيفرلي	beverly
بيفنز	bevins
بفيس	bevis
بك	bey
بييه	beye
بيضائي	beyzai
بيزوس	bezos
بالزين	bezzine
بهات	bhatt
بيكا	bhikha
بوتو	bhutto
بيابياني	biabiany
بياجي	biaggi
بياغيانتي	biagianti
بيانكا	bianca
بيانكي	bianchi
بيانشوتي	bianciotti
بيانكو	bianco
بياو	biao
بيافا	biava
بيبرون	bibron
بيكسل	bichsel
بيكنيل	bicknell
بيداتسو	bidatsu
بايدن	biden
بيبرباخ	bieberbach
بيلر	bieler
بيلسا	bielsa
بيرباوم	bierbaum
بيرهوف	bierhoff
بيغ	big
بيغالكه	bigalke
بيغاس	bigas
بيغلو	bigelow
بيغام	biggam
بيغز	biggs
بيغلر	bigler
بجلي	bigley
بيجليا	biglia
بيغونيو	bigogno
بيغون	bigon
بيجوتات	bijotat
بيكماييف	bikmaev
بلعرب	bil'arab
البلادي	biladi
بلال	bilal
بيلاردو	bilardo
البلكرامي	bilgrami
بلهارتس	bilharz
بيل	bill
بيلينغز	billings
بيلروت	billroth
بلسترم	billstrom
بيلي	billy
بيلوزيرتشيف	bilozerchev
بيلسن	bilson
بايندنك	binding
بينيه	binet
بينغبينغ	bingbing
بونغويلا	binguila
بينور	binnur
بينوش	binoche
بينست	binst
بنت	bint
بنيام	binyam
بيوندتي	biondetti
بيوندي	biondi
بيونديني	biondini
بيباشا	bipasha
بيربيغليا	birbiglia
بيرد	bird
بيريوكوف	biriukov
البيرجندي	birjandi
بيركين	birkin
بيرنباوم	birnbaum
البيروني	biruni
بيسبال	bisbal
بيشوف	bischoff
البيشي	bishi
بيشيل	bishil
بيشوب	bishop
بشر	bishr
البشتي	bishti
بسمارك	bismarck
بيسي	bisse
البيطار	bitar
بيطاط	bitat
البيثيني	bithynia
